epoch,loss,regularized_loss,reconstruction_loss,true_loss,train_loss,validation_loss,batch_loss_mean,batch_reconstruction_loss_mean,usage_balance_loss,batch_usage_balance_loss_mean,sample_entropy_mean,sample_entropy_target_loss,batch_sample_entropy_target_loss_mean,batch_sample_entropy_mean
1.0,9.197174072265625,9.197174072265625,9.114570617675781,9.114570617675781,9.114570617675781,,9.261870622634888,9.15441346168518,1.5178053379058838,1.1615445241332054,0.7576751708984375,0.06712497025728226,0.4938008412718773,1.126318946480751
2.0,9.12645435333252,9.12645435333252,9.061563491821289,9.061563491821289,9.061562538146973,,9.170758962631226,9.095507621765137,0.38871288299560547,0.8808774054050446,1.2872477769851685,0.45454859733581543,0.31207538954913616,1.0989233702421188
3.0,9.052244186401367,9.052244186401367,8.99831771850586,8.99831771850586,8.99831771850586,,9.09563660621643,9.037500381469727,0.9295842051506042,0.64827611297369,0.7120230197906494,0.07447318732738495,0.2572256475687027,1.029998704791069
4.0,8.977448463439941,8.977448463439941,8.949999809265137,8.949999809265137,8.949999809265137,,9.024744510650635,8.979670763015747,0.3020963668823242,0.7365247458219528,0.9346696138381958,0.12342999130487442,0.08247287198901176,0.7870787531137466
5.0,8.915177345275879,8.915177345275879,8.893434524536133,8.893434524536133,8.893434524536133,,8.959294319152832,8.93076229095459,0.20424845814704895,0.2761808857321739,0.8491575121879578,0.11530113965272903,0.14722983166575432,0.9362723678350449
6.0,8.853177070617676,8.853177070617676,8.830698013305664,8.830698013305664,8.830698013305664,,8.89445948600769,8.870214462280273,0.3232034146785736,0.3013470955193043,0.678650438785553,0.06319030374288559,0.09177744761109352,0.7856096625328064
7.0,8.791468620300293,8.791468620300293,8.773449897766113,8.773449897766113,8.773448944091797,,8.840780973434448,8.809501647949219,0.24144354462623596,0.49791739881038666,0.6777141690254211,0.05945921689271927,0.0638332748785615,0.658631831407547
8.0,8.730931282043457,8.730931282043457,8.716838836669922,8.716838836669922,8.716837882995605,,8.772817134857178,8.752985954284668,0.08791108429431915,0.26452746242284775,0.731246829032898,0.09696881473064423,0.06604873016476631,0.6913816332817078
9.0,8.667014122009277,8.667014122009277,8.654857635498047,8.654857635498047,8.654857635498047,,8.711013793945312,8.694591045379639,0.0941721498966217,0.132733553647995,0.7038658857345581,0.07448224723339081,0.09785872511565685,0.7190467268228531
10.0,8.604415893554688,8.604415893554688,8.593036651611328,8.593036651611328,8.593037605285645,,8.647099256515503,8.632863521575928,0.13484497368335724,0.1602427437901497,0.6689988970756531,0.046365704387426376,0.06223983783274889,0.6838670969009399
